2	1952.12		0.01087
4	2194.24		0.07364
6	2211.58		0.3128
8	2166.04		1.226
10	2105.47		7.047
12	2055.86		15.36
14	2004.46		59.70
16	1959.08		188.0
18	1922.12		502.4
20	1885.48		1532.0
24	1822.92		19320.0
28	1772.15		36950.0
32	1727.06		1081000.0
36	1686.11		129600000.0	# 1868.04
40	1650.83		135200000.0
46	1603.12		1171000000.0
50	1569.55		516200000.0
